Fecha,Producto,Venta,Costo productos,Utilidad,Ganancia envío
12/05/2026,Gorra NY negra,35.00,12.50,22.50,0
20/05/2026,Cadena cubana plateada + lentes retro,70.00,14.50,55.50,0
28/05/2026,Lentes retro,20.00,6.50,13.50,0
03/06/2026,Gorra NY negra,70.00,25.00,45.00,0
10/06/2026,Beanie gris,28.00,9.00,19.00,0
18/06/2026,"Anillo doble, acero",45.00,12.60,32.40,0
25/06/2026,Cadena cubana plateada,25.00,8.00,17.00,0
01/07/2026,Gorra NY negra,35.00,12.50,22.50,0
03/07/2026,Lentes retro + beanie gris,68.00,15.50,52.50,0
05/07/2026,Beanie gris,28.00,9.00,19.00,0
